restaurant_name,cuisines,cost,timings,featured_in
Beyond Flavours,"Chinese, Continental, Kebab, European, South Indian, North Indian",₹800,"12noon – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)","Food Hygiene Rated Restaurants in Hyderabad, Corporate Favorites, Great Buffets, Top-Rated, Gold Curated, Live Sports Screenings"
Paradise,"Biryani, North Indian, Chinese",₹800,11am – 11pm (Mon-Sun),Hyderabad's Hottest
The Fisherman's Wharf,"Seafood, Goan, North Indian, Continental, Asian","₹1,500","12noon – 3:30pm, 4pm – 6:30pm, 7pm – 11:30pm...","Sunday Brunches, Corporate Favorites, Great Buffets, Hyderabad's Hottest, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated"
Shah Ghouse Hotel & Restaurant,"Biryani, North Indian, Chinese, Seafood, Beverages",₹800,12noon – 2am (Mon-Sun),Late Night Restaurants
Over The Moon Brew Company,"Asian, Continental, North Indian, Chinese, Mediterranean","₹1,200","12noon – 11pm (Mon, Tue, Wed, Thu, Sun), 12noon...","Best Bars & Pubs, Food Hygiene Rated Restaurants in Hyderabad, Top-Rated, Gold Curated, Hyderabad's Hottest"
eat.fit,"Healthy Food, North Indian, Continental, South Indian",₹500,7am – 10pm (Mon-Sun),Food Hygiene Rated Restaurants in Hyderabad
Shah Ghouse Spl Shawarma,Lebanese,₹300,12noon – 12midnight (Mon-Sun),
Hyper Local,"American, Chinese, North Indian, Kebab, South Indian","₹1,000",12noon – 12midnight (Mon-Sun),"Great Buffets, Live Sports Screenings, Best Bars & Pubs, Trending This Week"
Absolute Sizzlers,"Continental, American, Chinese",₹750,11:30am – 1am (Mon-Sun),Great Buffets
Cream Stone,"Ice Cream, Desserts",₹350,"10am – 1am (Mon-Thu),10am – 1:30am (Fri-Sun)",Frozen Delights
Flechazo,"Asian, Mediterranean, North Indian, Desserts","₹1,300","11:30am – 4:30pm, 6:30pm – 11pm (Mon-Sun)","Great Buffets, Hyderabad's Hottest"
Sardarji's Chaats & More,"Street Food, North Indian, Fast Food",₹400,"12noon – 3:30pm, 7pm – 10:30pm (Mon-Sun)","Street Food, Veggie Friendly, Pocket Friendly"
Barbeque Nation,"Mediterranean, North Indian, Kebab, BBQ","₹1,600","12noon – 3:30pm, 6:30pm – 11:30pm (Mon-Sun)",Barbecue & Grill
The Lal Street - Bar Exchange,"North Indian, Italian, Finger Food","₹1,300",12noon – 12midnight (Mon-Sun),"Corporate Favorites, Happy Hours, Live Sports Screenings, Rooftops, Trending This Week"
AB's - Absolute Barbecues,"European, Mediterranean, North Indian","₹1,500","12noon – 4:30pm, 6:30pm – 11:30pm (Mon-Sun)","Barbecue & Grill, Great Buffets, Corporate Favorites, Hyderabad's Hottest"
KFC,"Burger, Fast Food",₹500,11am – 11pm (Mon-Sun),
NorFest - The Dhaba,North Indian,₹550,12noon – 10:30pm (Mon-Sun),
